,product_group_name,perceived_colour_master_name,purchase_count,purchase_ratio_pct,price_count,mean_price,median_price,std_price
0,Accessories,Beige,476,6.430694406917049,470,0.01978323113829787,0.0168220335,0.012728729553247546
1,Accessories,Black,2396,32.36962982977574,2381,0.017464040883242334,0.013542373,0.012130871207539765
2,Accessories,Blue,202,2.728992164279924,200,0.012057457629999999,0.011847458,0.007587998486531464
3,Accessories,Brown,449,6.065928127533099,442,0.018455211300904977,0.013542373,0.012957417963391546
4,Accessories,Green,136,1.837341259119157,136,0.018522308080882354,0.013542373,0.014312836791548371
5,Accessories,Grey,265,3.580113482842475,261,0.016837651762452107,0.013542373,0.015129972764777583
6,Accessories,Khaki green,60,0.810591731964334,60,0.015990677933333333,0.013542373,0.010754011357417902
7,Accessories,Lilac Purple,23,0.31072683058632805,22,0.010352850454545455,0.0076101695,0.009938394618634348
8,Accessories,Metal,1523,20.575520129694677,1514,0.01258783556935271,0.01220339,0.006276206406489498
9,Accessories,Mole,140,1.8913807079167793,139,0.01032520428057554,0.005728814,0.010803364390184098
10,Accessories,Orange,333,4.498784112402054,332,0.015542372912650601,0.013542373,0.011839358461076387
11,Accessories,Pink,488,6.592812753309916,483,0.012358809683229815,0.010152542,0.009430475451655186
12,Accessories,Red,224,3.026209132666847,219,0.01286858598173516,0.011610169,0.007833232925419669
13,Accessories,Turquoise,45,0.6079437989732505,45,0.014341242866666668,0.013542373,0.00823856612703124
14,Accessories,White,398,5.3769251553634145,396,0.013439351133838384,0.012186441,0.008525831888032185
15,Accessories,Yellow,244,3.296406376654958,242,0.01693192319421488,0.013542373,0.013152243013650186
16,Garment Full body,Beige,1195,7.189699777390049,1190,0.03904391107983193,0.033881356,0.019771432184785557
17,Garment Full body,Black,6209,37.356356416581434,6163,0.03454292562469576,0.03340678,0.01854269254223503
18,Garment Full body,Blue,1938,11.659948258227544,1926,0.03805238746780894,0.033881356,0.01980840152988475
19,Garment Full body,Brown,409,2.4607424342699,409,0.03681422237163814,0.033881356,0.018240004442512663
20,Garment Full body,Green,692,4.163407737199928,688,0.04334073208430233,0.042355932,0.018543194535533745
21,Garment Full body,Grey,475,2.8578304554479272,472,0.03145141476059322,0.030491525,0.01573505804468342
22,Garment Full body,Khaki green,671,4.037061548643282,666,0.03507217381231231,0.033881356,0.01399279832429392
23,Garment Full body,Lilac Purple,47,0.2827748029601107,46,0.05229476778260869,0.049135593000000005,0.03433316081191839
24,Garment Full body,Metal,11,0.06618133686300463,11,0.03680893681818182,0.033881356,0.033720643800849
25,Garment Full body,Mole,77,0.4632693580410324,77,0.04602971601298701,0.033881356,0.030886174049428634
26,Garment Full body,Orange,309,1.8590939173334937,308,0.040860939883116884,0.035576271,0.026405998308516046
27,Garment Full body,Pink,661,3.9768966969496424,657,0.04049990962861492,0.033881356,0.025539166409523313
28,Garment Full body,Red,1238,7.448408639672703,1226,0.034982401058727575,0.033457627000000004,0.01888164185623602
29,Garment Full body,Turquoise,230,1.383791588953733,229,0.047549848200873365,0.042355932,0.028578616578858077
30,Garment Full body,White,1870,11.250827266710788,1865,0.037874167272922254,0.033881356,0.02676729724621018
31,Garment Full body,Yellow,589,3.5437097647554294,584,0.035576126039383565,0.0333050845,0.02106985573663152
32,Garment Lower body,Beige,1708,5.1955953032791875,1696,0.03467179999115566,0.033881356,0.018166187447828525
33,Garment Lower body,Black,12851,39.09168339721361,12776,0.03152584821430808,0.030491525,0.016418856595873423
34,Garment Lower body,Blue,9463,28.785666484151612,9396,0.03412186211802895,0.033881356,0.01641438330892168
35,Garment Lower body,Brown,564,1.715641540427085,561,0.03350826303386809,0.033881356,0.02287930650734273
36,Garment Lower body,Green,611,1.858611668796009,607,0.04215687037397035,0.042355932,0.019518015264640996
37,Garment Lower body,Grey,2459,7.480075439557096,2438,0.030344711516406893,0.030491525,0.014649512360628256
38,Garment Lower body,Khaki green,1139,3.4647441747277483,1132,0.030462208723498235,0.030254237,0.01578087308228544
39,Garment Lower body,Lilac Purple,77,0.2342276571150453,77,0.025451023415584414,0.02540678,0.012787380536971581
