_color_plot,offline_pct,online_pct,difference_pct_point
White,14.671534452044249,13.236978509444587,-1.434555942599662
Grey,6.452748026127692,5.599774805381374,-0.8529732207463177
OTHER,8.179199014713321,7.568286385432238,-0.6109126292810831
Khaki green,3.0592271657612877,2.6402127700879423,-0.4190143956733454
Pink,4.440387956629792,4.421385723437712,-0.019002233192079387
Beige,6.474741032351712,6.567529265593756,0.092788233242044
Yellow,2.3928390771734587,2.4868474694725395,0.09400839229908087
Green,2.634762145637687,2.927530042126924,0.29276789648923707
Red,5.064989333391981,5.541534817805906,0.47654548441392475
Black,33.74606875013746,34.71782726019685,0.971758510059388
Blue,12.883503046031361,14.292092951020171,1.4085899049888102
